part_id,part_file,chunk_count,status,indexed_at,start_chunk_id,end_chunk_id
29,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part029.parquet,77276,complete,2026-07-08T04:42:24,PMCID:PMC2693137::chunk_00000,PMCID:PMC2711068::chunk_00027
30,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part030.parquet,73228,complete,2026-07-08T04:51:47,PMCID:PMC2711069::chunk_00000,PMCID:PMC2727524::chunk_00000
31,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part031.parquet,60309,complete,2026-07-08T04:59:47,PMCID:PMC2727525::chunk_00000,PMCID:PMC2742396::chunk_00005
32,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part032.parquet,79142,complete,2026-07-08T05:10:02,PMCID:PMC2742500::chunk_00000,PMCID:PMC2762244::chunk_00008
33,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part033.parquet,67801,complete,2026-07-08T05:18:53,PMCID:PMC2762246::chunk_00000,PMCID:PMC2777188::chunk_00028
34,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part034.parquet,74102,complete,2026-07-08T05:28:44,PMCID:PMC2777189::chunk_00000,PMCID:PMC2794678::chunk_00003
35,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part035.parquet,66218,complete,2026-07-08T05:37:25,PMCID:PMC2794679::chunk_00000,PMCID:PMC2809091::chunk_00023
36,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part036.parquet,69725,complete,2026-07-08T05:46:35,PMCID:PMC2809092::chunk_00000,PMCID:PMC2824802::chunk_00016
37,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part037.parquet,72133,complete,2026-07-08T05:56:19,PMCID:PMC2824803::chunk_00000,PMCID:PMC2840910::chunk_00005
38,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part038.parquet,72351,complete,2026-07-08T06:05:53,PMCID:PMC2840911::chunk_00000,PMCID:PMC2855061::chunk_00017
39,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part039.parquet,75340,complete,2026-07-08T06:16:17,PMCID:PMC2855062::chunk_00000,PMCID:PMC2873331::chunk_00019
40,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part040.parquet,74798,complete,2026-07-08T06:26:50,PMCID:PMC2873332::chunk_00000,PMCID:PMC2886041::chunk_00019
41,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part041.parquet,75335,complete,2026-07-08T06:36:55,PMCID:PMC2886042::chunk_00000,PMCID:PMC2901574::chunk_00015
42,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part042.parquet,75361,complete,2026-07-08T06:47:14,PMCID:PMC2901575::chunk_00000,PMCID:PMC2914066::chunk_00023
43,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part043.parquet,75695,complete,2026-07-08T06:57:32,PMCID:PMC2914067::chunk_00000,PMCID:PMC2930928::chunk_00000
44,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part044.parquet,73157,complete,2026-07-08T07:07:34,PMCID:PMC2930929::chunk_00000,PMCID:PMC2946281::chunk_00033
45,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part045.parquet,72323,complete,2026-07-08T07:17:46,PMCID:PMC2946282::chunk_00000,PMCID:PMC2959354::chunk_00002
46,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part046.parquet,11845,complete,2026-07-08T07:19:24,PMCID:PMC2959355::chunk_00000,PMCID:PMC2963875::chunk_00010
47,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part047.parquet,29477,complete,2026-07-08T07:23:28,PMCID:PMC2963876::chunk_00000,PMCID:PMC2970049::chunk_00002
48,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part048.parquet,27937,complete,2026-07-08T07:27:18,PMCID:PMC2970050::chunk_00000,PMCID:PMC2978674::chunk_00025
49,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part049.parquet,26697,complete,2026-07-08T07:31:02,PMCID:PMC2978675::chunk_00000,PMCID:PMC2987862::chunk_00012
50,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part050.parquet,70547,complete,2026-07-08T07:41:01,PMCID:PMC2987863::chunk_00000,PMCID:PMC2999444::chunk_00015
51,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part051.parquet,2942,complete,2026-07-08T07:41:24,PMCID:PMC2999445::chunk_00000,PMCID:PMC2999904::chunk_00026
