query_id,fusion_strategy,pooled_relevant_document_count,retrieved_relevant_count_at_10,pooled_recall_at_10,mrr_at_10,ndcg_at_10
Q030,weighted,0,0,0.0,0.0,0.9216017310213247
Q031,rrf,8,7,0.875,1.0,0.8666879991812895
Q031,simple,8,7,0.875,1.0,0.8666879991812895
Q031,weighted,8,8,1.0,1.0,0.9131222944025769
Q032,rrf,5,5,1.0,0.3333333333333333,0.7455591411953447
Q032,simple,5,5,1.0,0.3333333333333333,0.7455591411953447
Q032,weighted,5,4,0.8,0.3333333333333333,0.663311625849608
Q033,rrf,10,8,0.8,1.0,0.8340611153182702
Q033,simple,10,8,0.8,0.3333333333333333,0.7606971932189102
Q033,weighted,10,8,0.8,1.0,0.8340611153182702
Q034,rrf,12,10,0.8333333333333334,1.0,1.0
Q034,simple,12,10,0.8333333333333334,1.0,1.0
Q034,weighted,12,10,0.8333333333333334,1.0,1.0
Q035,rrf,7,5,0.7142857142857143,1.0,0.8586414520296746
Q035,simple,7,5,0.7142857142857143,1.0,0.8586414520296746
Q035,weighted,7,7,1.0,1.0,0.9824542909798009
Q036,rrf,5,5,1.0,1.0,0.9626202529071795
Q036,simple,5,5,1.0,1.0,0.9626202529071795
Q036,weighted,5,4,0.8,1.0,0.8762782072520698
Q037,rrf,9,7,0.7777777777777778,0.5,0.8006473587198288
Q037,simple,9,7,0.7777777777777778,0.5,0.8006473587198288
Q037,weighted,9,8,0.8888888888888888,0.5,0.8144522984887895
Q038,rrf,9,9,1.0,1.0,0.9897119920294625
Q038,simple,9,9,1.0,1.0,0.9897119920294625
Q038,weighted,9,9,1.0,1.0,1.0
Q039,rrf,1,1,1.0,0.5,0.7885840970019921
Q039,simple,1,1,1.0,1.0,0.8967048973456861
Q039,weighted,1,0,0.0,0.0,0.5719409191630741
Q040,rrf,3,3,1.0,1.0,0.8950349182629463
Q040,simple,3,3,1.0,1.0,0.8950349182629463
Q040,weighted,3,3,1.0,1.0,0.8950349182629463
Q041,rrf,7,7,1.0,1.0,0.9399584513329977
Q041,simple,7,7,1.0,1.0,0.9399584513329977
Q041,weighted,7,7,1.0,1.0,0.9399584513329977
Q042,rrf,0,0,0.0,0.0,1.0
Q042,simple,0,0,0.0,0.0,1.0
Q042,weighted,0,0,0.0,0.0,0.0
Q043,rrf,5,5,1.0,0.5,0.8062360720438981
Q043,simple,5,5,1.0,0.5,0.8062360720438981
Q043,weighted,5,4,0.8,0.2,0.6741272963389928
Q044,rrf,9,8,0.8888888888888888,0.3333333333333333,0.7943903535039538
Q044,simple,9,8,0.8888888888888888,0.3333333333333333,0.7943903535039538
Q044,weighted,9,8,0.8888888888888888,0.5,0.8144522984887895
Q045,rrf,0,0,0.0,0.0,1.0
Q045,simple,0,0,0.0,0.0,1.0
Q045,weighted,0,0,0.0,0.0,1.0
Q046,rrf,1,1,1.0,0.1111111111111111,0.7863639746437395
Q046,simple,1,1,1.0,0.1111111111111111,0.7863639746437395
Q046,weighted,1,1,1.0,0.125,0.7907759102206743
Q047,rrf,2,2,1.0,0.2,0.5798318582307901
Q047,simple,2,2,1.0,0.2,0.5798318582307901
Q047,weighted,2,2,1.0,0.25,0.5794014780136998
Q048,rrf,4,3,0.75,1.0,0.7732232231091191
Q048,simple,4,3,0.75,1.0,0.7732232231091191
Q048,weighted,4,4,1.0,1.0,0.9606438715655009
Q049,rrf,4,4,1.0,0.5,0.75128527957174
Q049,simple,4,4,1.0,0.5,0.75128527957174
Q049,weighted,4,4,1.0,0.5,0.696134441531669
Q050,rrf,3,1,0.3333333333333333,0.1,0.581651944188648
Q050,simple,3,1,0.3333333333333333,0.1,0.581651944188648
Q050,weighted,3,2,0.6666666666666666,0.125,0.6231940073630601
