query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q006,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q007,pre_doc_top50,simple,rrf,28,28,28,1.0,1.0
Q007,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q007,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q007,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q007,pre_doc_top50,simple,weighted,28,26,25,0.9615384615384616,0.8620689655172413
Q007,pre_chunk_top50,simple,weighted,50,50,44,0.88,0.7857142857142857
Q007,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q007,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q007,pre_doc_top50,rrf,weighted,28,26,25,0.9615384615384616,0.8620689655172413
Q007,pre_chunk_top50,rrf,weighted,50,50,44,0.88,0.7857142857142857
Q007,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q007,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q008,pre_doc_top50,simple,rrf,30,30,30,1.0,1.0
Q008,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q008,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q008,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q008,pre_doc_top50,simple,weighted,30,29,24,0.8275862068965517,0.6857142857142857
Q008,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q008,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q008,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q008,pre_doc_top50,rrf,weighted,30,29,24,0.8275862068965517,0.6857142857142857
Q008,pre_chunk_top50,rrf,weighted,50,50,42,0.84,0.7241379310344828
Q008,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q008,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q009,pre_doc_top50,simple,rrf,35,35,35,1.0,1.0
Q009,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q009,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q009,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q009,pre_doc_top50,simple,weighted,35,31,29,0.9354838709677419,0.7837837837837838
Q009,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q009,final_doc_top5,simple,weighted,5,5,2,0.4,0.25
Q009,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q009,pre_doc_top50,rrf,weighted,35,31,29,0.9354838709677419,0.7837837837837838
Q009,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q009,final_doc_top5,rrf,weighted,5,5,2,0.4,0.25
Q009,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q010,pre_doc_top50,simple,rrf,34,34,34,1.0,1.0
Q010,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q010,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q010,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q010,pre_doc_top50,simple,weighted,34,34,29,0.8529411764705882,0.7435897435897436
Q010,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q010,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q010,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q010,pre_doc_top50,rrf,weighted,34,34,29,0.8529411764705882,0.7435897435897436
Q010,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q010,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q010,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q011,pre_doc_top50,simple,rrf,39,39,38,0.9743589743589743,0.95
Q011,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q011,final_doc_top5,simple,rrf,5,5,4,0.8,0.6666666666666666
Q011,final_doc_top10,simple,rrf,10,10,9,0.9,0.8181818181818182
Q011,pre_doc_top50,simple,weighted,39,39,37,0.9487179487179487,0.9024390243902439
Q011,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q011,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q011,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q011,pre_doc_top50,rrf,weighted,39,39,38,0.9743589743589743,0.95
Q011,pre_chunk_top50,rrf,weighted,50,50,49,0.98,0.9607843137254902
Q011,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q011,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q012,pre_doc_top50,simple,rrf,30,30,30,1.0,1.0
Q012,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q012,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q012,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q012,pre_doc_top50,simple,weighted,30,26,25,0.9615384615384616,0.8064516129032258
Q012,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q012,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q012,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q012,pre_doc_top50,rrf,weighted,30,26,25,0.9615384615384616,0.8064516129032258
Q012,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q012,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q012,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q013,pre_doc_top50,simple,rrf,26,26,26,1.0,1.0
