fusion_strategy,query_count,pooled_recall_at_10_macro,mrr_at_10_macro,ndcg_at_10_macro
simple,50,0.8064660894660896,0.6865555555555555,0.8600093221681366
rrf,50,0.8126883116883117,0.689888888888889,0.8614410225350272
weighted,50,0.8074278499278499,0.664,0.834109377806138
