text_field,count,mean,median,min,max,p50,p75,p90,p95,p99,over_512_count,over_512_rate,over_1024_count,over_1024_rate
text_title_abstract,153121,310.6944834477309,330.0,0,2366,330.0,428.0,509.0,560.0,667.0,14735,0.09623108522018535,24,0.00015673878827855096
text_full,153121,5658.861240456894,5374.0,0,198807,5374.0,8364.0,11433.0,13549.0,18363.99999999994,132157,0.8630886684386857,118444,0.7735320432860286
