field,total_count,non_empty_count,missing_count,missing_rate
title,153121,153101,20,0.00013061565689879246
abstract,153121,138489,14632,0.09555841458715657
body,153121,133539,19582,0.1278857896696077
journal,153121,153121,0,0.0
pub_date,153121,153121,0,0.0
pub_year,153121,153121,0,0.0
pmid,153121,147551,5570,0.0363764604463137
pmcid,153121,153121,0,0.0
article_type,153121,153121,0,0.0
