query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q007,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q007,pre_doc_top50,simple,weighted,19,18,17,0.9444444444444444,0.85
Q007,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q007,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q007,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q007,pre_doc_top50,rrf,weighted,19,18,17,0.9444444444444444,0.85
Q007,pre_chunk_top50,rrf,weighted,50,50,42,0.84,0.7241379310344828
Q007,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q007,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q008,pre_doc_top50,simple,rrf,23,23,23,1.0,1.0
Q008,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q008,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q008,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q008,pre_doc_top50,simple,weighted,23,24,21,0.9130434782608695,0.8076923076923077
Q008,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q008,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q008,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q008,pre_doc_top50,rrf,weighted,23,24,21,0.9130434782608695,0.8076923076923077
Q008,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q008,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q008,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q009,pre_doc_top50,simple,rrf,33,33,33,1.0,1.0
Q009,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q009,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q009,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q009,pre_doc_top50,simple,weighted,33,32,32,1.0,0.9696969696969697
Q009,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q009,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q009,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q009,pre_doc_top50,rrf,weighted,33,32,32,1.0,0.9696969696969697
Q009,pre_chunk_top50,rrf,weighted,50,50,48,0.96,0.9230769230769231
Q009,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q009,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q010,pre_doc_top50,simple,rrf,30,30,30,1.0,1.0
Q010,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q010,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q010,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q010,pre_doc_top50,simple,weighted,30,30,27,0.9,0.8181818181818182
Q010,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
Q010,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q010,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q010,pre_doc_top50,rrf,weighted,30,30,27,0.9,0.8181818181818182
Q010,pre_chunk_top50,rrf,weighted,50,50,45,0.9,0.8181818181818182
Q010,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q010,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q011,pre_doc_top50,simple,rrf,38,36,36,1.0,0.9473684210526315
Q011,pre_chunk_top50,simple,rrf,50,50,48,0.96,0.9230769230769231
Q011,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q011,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q011,pre_doc_top50,simple,weighted,38,38,36,0.9473684210526315,0.9
Q011,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q011,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q011,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q011,pre_doc_top50,rrf,weighted,36,38,35,0.9722222222222222,0.8974358974358975
Q011,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q011,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q011,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q012,pre_doc_top50,simple,rrf,19,19,19,1.0,1.0
Q012,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q012,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
