record_id,source_file,title_abstract_token_len,full_token_len,exceeds_512_title_abstract,exceeds_512_full,estimated_chunks_title_abstract,estimated_chunks_full
pmc_000001,PMC000xxxxxx/PMC176545.xml,454,17219,False,True,2,54
pmc_000002,PMC000xxxxxx/PMC176546.xml,274,4967,False,True,1,16
pmc_000003,PMC000xxxxxx/PMC176547.xml,10,347,False,False,1,1
pmc_000004,PMC000xxxxxx/PMC176548.xml,15,603,False,True,1,2
pmc_000005,PMC000xxxxxx/PMC193604.xml,485,7981,False,True,2,25
pmc_000006,PMC000xxxxxx/PMC193605.xml,384,8922,False,True,1,28
pmc_000007,PMC000xxxxxx/PMC193606.xml,10,531,False,True,1,2
pmc_000008,PMC000xxxxxx/PMC193607.xml,15,646,False,True,1,2
pmc_000009,PMC000xxxxxx/PMC212319.xml,369,7192,False,True,1,23
pmc_000010,PMC000xxxxxx/PMC212687.xml,405,13483,False,True,2,42
pmc_000011,PMC000xxxxxx/PMC212688.xml,9,776,False,True,1,3
pmc_000012,PMC000xxxxxx/PMC212689.xml,29,4506,False,True,1,14
pmc_000013,PMC000xxxxxx/PMC212690.xml,28,1289,False,True,1,4
pmc_000014,PMC000xxxxxx/PMC212691.xml,427,20477,False,True,2,64
pmc_000015,PMC000xxxxxx/PMC212692.xml,338,7744,False,True,1,24
pmc_000016,PMC000xxxxxx/PMC212693.xml,38,1849,False,True,1,6
pmc_000017,PMC000xxxxxx/PMC212694.xml,47,1781,False,True,1,6
pmc_000018,PMC000xxxxxx/PMC212695.xml,64,3222,False,True,1,10
pmc_000019,PMC000xxxxxx/PMC212696.xml,32,1766,False,True,1,6
pmc_000020,PMC000xxxxxx/PMC212697.xml,28,4599,False,True,1,15
pmc_000021,PMC000xxxxxx/PMC212698.xml,419,13122,False,True,2,41
pmc_000022,PMC000xxxxxx/PMC212699.xml,435,6645,False,True,2,21
pmc_000023,PMC000xxxxxx/PMC212700.xml,12,755,False,True,1,3
pmc_000024,PMC000xxxxxx/PMC212701.xml,11,594,False,True,1,2
pmc_000025,PMC000xxxxxx/PMC212702.xml,47,3281,False,True,1,11
pmc_000026,PMC000xxxxxx/PMC212703.xml,14,452,False,False,1,2
pmc_000027,PMC000xxxxxx/PMC212704.xml,11,701,False,True,1,2
pmc_000028,PMC000xxxxxx/PMC212705.xml,29,1129,False,True,1,4
pmc_000029,PMC000xxxxxx/PMC212706.xml,39,2365,False,True,1,8
pmc_000030,PMC000xxxxxx/PMC261870.xml,251,3259,False,True,1,10
pmc_000031,PMC000xxxxxx/PMC300675.xml,21,895,False,True,1,3
pmc_000032,PMC000xxxxxx/PMC300700.xml,13,126,False,False,1,1
pmc_000033,PMC000xxxxxx/PMC300881.xml,255,7108,False,True,1,22
pmc_000034,PMC000xxxxxx/PMC300882.xml,263,8575,False,True,1,27
pmc_000035,PMC000xxxxxx/PMC300883.xml,398,11954,False,True,1,38
pmc_000036,PMC000xxxxxx/PMC300884.xml,16,890,False,True,1,3
pmc_000037,PMC000xxxxxx/PMC300885.xml,14,905,False,True,1,3
pmc_000038,PMC000xxxxxx/PMC300886.xml,10,1073,False,True,1,4
pmc_000039,PMC000xxxxxx/PMC314300.xml,280,9894,False,True,1,31
pmc_000040,PMC000xxxxxx/PMC314301.xml,17,918,False,True,1,3
pmc_000041,PMC000xxxxxx/PMC314462.xml,37,3117,False,True,1,10
pmc_000042,PMC000xxxxxx/PMC314463.xml,443,15139,False,True,2,48
pmc_000043,PMC000xxxxxx/PMC314464.xml,289,8807,False,True,1,28
pmc_000044,PMC000xxxxxx/PMC314465.xml,235,4910,False,True,1,16
pmc_000045,PMC000xxxxxx/PMC314466.xml,320,13908,False,True,1,44
pmc_000046,PMC000xxxxxx/PMC314467.xml,24,1244,False,True,1,4
pmc_000047,PMC000xxxxxx/PMC314468.xml,45,3229,False,True,1,10
pmc_000048,PMC000xxxxxx/PMC314469.xml,474,9872,False,True,2,31
pmc_000049,PMC000xxxxxx/PMC314470.xml,12,786,False,True,1,3
pmc_000050,PMC000xxxxxx/PMC314471.xml,36,2427,False,True,1,8
pmc_000051,PMC000xxxxxx/PMC314472.xml,331,10483,False,True,1,33
pmc_000052,PMC000xxxxxx/PMC314473.xml,12,776,False,True,1,3
pmc_000053,PMC000xxxxxx/PMC314474.xml,451,12260,False,True,2,39
pmc_000054,PMC000xxxxxx/PMC314475.xml,26,1040,False,True,1,3
pmc_000055,PMC000xxxxxx/PMC314476.xml,16,886,False,True,1,3
pmc_000056,PMC000xxxxxx/PMC314477.xml,64,3318,False,True,1,11
pmc_000057,PMC000xxxxxx/PMC314478.xml,15,909,False,True,1,3
pmc_000058,PMC000xxxxxx/PMC314479.xml,15,758,False,True,1,3
pmc_000059,PMC000xxxxxx/PMC314480.xml,14,787,False,True,1,3
pmc_000060,PMC000xxxxxx/PMC314481.xml,10,657,False,True,1,2
pmc_000061,PMC000xxxxxx/PMC314482.xml,14,780,False,True,1,3
pmc_000062,PMC000xxxxxx/PMC314483.xml,42,1573,False,True,1,5
pmc_000063,PMC000xxxxxx/PMC317275.xml,501,10267,False,True,2,32
pmc_000064,PMC000xxxxxx/PMC322746.xml,44,4917,False,True,1,16
pmc_000065,PMC000xxxxxx/PMC338072.xml,332,8390,False,True,1,26
pmc_000066,PMC000xxxxxx/PMC340127.xml,11,1026,False,True,1,3
pmc_000067,PMC000xxxxxx/PMC340937.xml,283,10592,False,True,1,33
pmc_000068,PMC000xxxxxx/PMC340938.xml,430,12538,False,True,2,39
pmc_000069,PMC000xxxxxx/PMC340939.xml,40,1428,False,True,1,5
pmc_000070,PMC000xxxxxx/PMC340940.xml,225,11221,False,True,1,35
