marker,count,rate
BACKGROUND,128,0.256
OBJECTIVE,10,0.02
METHODS,99,0.198
RESULTS,173,0.346
CONCLUSIONS,90,0.18
INTRODUCTION,3,0.006
DISCUSSION,7,0.014
