text_field,count,mean,median,min,max,p50,p75,p90,p95,p99,over_512_count,over_512_rate,over_1024_count,over_1024_rate
text_title_abstract,3028,315.29953764861295,336.0,3,952,336.0,430.0,519.0,570.6500000000001,676.0,328,0.1083223249669749,0,0.0
text_full,3028,6019.9808454425365,5503.0,55,25782,5503.0,8030.25,10805.2,13091.25,18109.170000000002,3000,0.9907529722589168,2772,0.9154557463672391
