text_field,count,mean,median,min,max,p50,p75,p90,p95,p99,over_512_count,over_512_rate,over_1024_count,over_1024_rate
text_title_abstract,500,219.096,231.0,3,873,231.0,363.5,470.20000000000005,530.0,614.1599999999999,30,0.06,0,0.0
text_full,500,5664.038,4294.0,55,24638,4294.0,8589.25,12146.900000000001,15001.249999999993,22022.379999999997,490,0.98,386,0.772
