record_id,source_file,title_abstract_token_len,full_token_len,exceeds_512_title_abstract,exceeds_512_full,estimated_chunks_title_abstract,estimated_chunks_full
pmc_001232,PMC000xxxxxx/PMC526282.xml,363,4269,False,True,1,14
pmc_001233,PMC000xxxxxx/PMC526283.xml,485,3884,False,True,2,12
pmc_001234,PMC000xxxxxx/PMC526287.xml,708,7659,True,True,2,24
pmc_001235,PMC000xxxxxx/PMC526296.xml,528,4561,True,True,2,15
pmc_001236,PMC000xxxxxx/PMC526297.xml,379,6263,False,True,1,20
pmc_001237,PMC000xxxxxx/PMC526298.xml,385,4625,False,True,1,15
pmc_001238,PMC000xxxxxx/PMC526369.xml,395,13459,False,True,1,42
pmc_001239,PMC000xxxxxx/PMC526370.xml,385,5419,False,True,1,17
pmc_001240,PMC000xxxxxx/PMC526371.xml,454,2374,False,True,2,8
pmc_001241,PMC000xxxxxx/PMC526372.xml,382,10538,False,True,1,33
pmc_001242,PMC000xxxxxx/PMC526373.xml,297,4702,False,True,1,15
pmc_001243,PMC000xxxxxx/PMC526374.xml,185,2005,False,True,1,7
pmc_001244,PMC000xxxxxx/PMC526375.xml,602,11197,True,True,2,35
pmc_001245,PMC000xxxxxx/PMC526376.xml,199,10452,False,True,1,33
pmc_001246,PMC000xxxxxx/PMC526377.xml,11,901,False,True,1,3
pmc_001247,PMC000xxxxxx/PMC526378.xml,407,6721,False,True,2,21
pmc_001248,PMC000xxxxxx/PMC526379.xml,233,3154,False,True,1,10
pmc_001249,PMC000xxxxxx/PMC526380.xml,415,10741,False,True,2,34
pmc_001250,PMC000xxxxxx/PMC526381.xml,315,7614,False,True,1,24
pmc_001251,PMC000xxxxxx/PMC526382.xml,435,6448,False,True,2,20
pmc_001252,PMC000xxxxxx/PMC526383.xml,454,6315,False,True,2,20
pmc_001253,PMC000xxxxxx/PMC526384.xml,359,3949,False,True,1,13
pmc_001254,PMC000xxxxxx/PMC526385.xml,284,4721,False,True,1,15
pmc_001255,PMC000xxxxxx/PMC526386.xml,366,4989,False,True,1,16
pmc_001256,PMC000xxxxxx/PMC526387.xml,334,16290,False,True,1,51
pmc_001257,PMC000xxxxxx/PMC526388.xml,576,8027,True,True,2,25
pmc_001258,PMC000xxxxxx/PMC526389.xml,437,8025,False,True,2,25
pmc_001259,PMC000xxxxxx/PMC526390.xml,469,13449,False,True,2,42
pmc_001260,PMC000xxxxxx/PMC526391.xml,366,7871,False,True,1,25
