term,count
patients,2040
cells,1518
data,1446
cell,1398
expression,1368
gene,1276
genes,1228
analysis,1163
protein,1157
health,1030
both,928
based,910
treatment,880
human,862
high,807
disease,795
different,766
group,740
associated,735
cancer,722
however,721
time,711
compared,691
use,682
specific,676
levels,663
significant,661
found,660
model,639
activity,637
clinical,620
non,615
increased,607
proteins,602
risk,600
well,597
only,595
sequence,589
age,587
information,576
response,571
control,569
dna,564
three,564
number,557
related,553
care,552
effect,546
function,540
significantly,539
