metric,count,mean,median,p75,p90,p95,p99,max
chunks_per_doc,133539,22.892772897805134,22.0,32.0,42.0,49.0,67.0,741
chunk_token_count,3057078,333.877048933655,379.0,397.0,409.0,416.0,434.0,512
